"Step","playful-oath-296 - Percentage of times the goal was reached through time","playful-oath-296 - Percentage of times the goal was reached through time__MIN","playful-oath-296 - Percentage of times the goal was reached through time__MAX"
"0","1","1","1"
"1","0.5","0.5","0.5"
"2","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"3","0.25","0.25","0.25"
"4","0.2","0.2","0.2"
"5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"6","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"7","0.125","0.125","0.125"
"8","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"9","0.1","0.1","0.1"
"10","0.09090909090909091","0.09090909090909091","0.09090909090909091"
"11","0.08333333333333333","0.08333333333333333","0.08333333333333333"
"12","0.07692307692307693","0.07692307692307693","0.07692307692307693"
"13","0.07142857142857142","0.07142857142857142","0.07142857142857142"
"14","0.06666666666666667","0.06666666666666667","0.06666666666666667"
"15","0.125","0.125","0.125"
"16","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"17","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"18","0.15789473684210525","0.15789473684210525","0.15789473684210525"
"19","0.15","0.15","0.15"
"20","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"21","0.13636363636363635","0.13636363636363635","0.13636363636363635"
"22","0.13043478260869565","0.13043478260869565","0.13043478260869565"
"23","0.125","0.125","0.125"
"24","0.12","0.12","0.12"
"25","0.11538461538461539","0.11538461538461539","0.11538461538461539"
"26","0.14814814814814814","0.14814814814814814","0.14814814814814814"
"27","0.17857142857142858","0.17857142857142858","0.17857142857142858"
"28","0.1724137931034483","0.1724137931034483","0.1724137931034483"
"29","0.2","0.2","0.2"
"30","0.22580645161290322","0.22580645161290322","0.22580645161290322"
"31","0.21875","0.21875","0.21875"
"32","0.21212121212121213","0.21212121212121213","0.21212121212121213"
"33","0.20588235294117646","0.20588235294117646","0.20588235294117646"
"34","0.2","0.2","0.2"
"35","0.19444444444444445","0.19444444444444445","0.19444444444444445"
"36","0.1891891891891892","0.1891891891891892","0.1891891891891892"
"37","0.21052631578947367","0.21052631578947367","0.21052631578947367"
"38","0.20512820512820512","0.20512820512820512","0.20512820512820512"
"39","0.225","0.225","0.225"
"40","0.24390243902439024","0.24390243902439024","0.24390243902439024"
"41","0.23809523809523808","0.23809523809523808","0.23809523809523808"
"42","0.23255813953488372","0.23255813953488372","0.23255813953488372"
"43","0.22727272727272727","0.22727272727272727","0.22727272727272727"
"44","0.24444444444444444","0.24444444444444444","0.24444444444444444"
"45","0.2608695652173913","0.2608695652173913","0.2608695652173913"
"46","0.2553191489361702","0.2553191489361702","0.2553191489361702"
"47","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"48","0.2653061224489796","0.2653061224489796","0.2653061224489796"
"49","0.26","0.26","0.26"
"50","0.2549019607843137","0.2549019607843137","0.2549019607843137"
"51","0.25","0.25","0.25"
"52","0.2641509433962264","0.2641509433962264","0.2641509433962264"
"53","0.25925925925925924","0.25925925925925924","0.25925925925925924"
"54","0.2545454545454545","0.2545454545454545","0.2545454545454545"
"55","0.26785714285714285","0.26785714285714285","0.26785714285714285"
"56","0.2631578947368421","0.2631578947368421","0.2631578947368421"
"57","0.25862068965517243","0.25862068965517243","0.25862068965517243"
"58","0.2711864406779661","0.2711864406779661","0.2711864406779661"
"59","0.26666666666666666","0.26666666666666666","0.26666666666666666"
